claim_id,contract_id,insured_id,incident_type,incident_severity,incident_date,incident_hour,incident_day_of_week,declaration_delay_days,declaration_date,region,vehicle_brand,vehicle_age,contract_type,annual_premium,total_claim_amount,driver_age,months_as_customer,annual_income,profession,witnesses,prior_claims,bodily_injuries,police_report,garage_id,expert_id,garage_sra_certified,expert_certified,is_covered,claims_last_36m_agira,agira_ext_count,blacklisted,incident_description,description_word_count,fraud_reported,fraud_indicators,suspicious_points
CLM_000001,CTR_003109,INS_004713,Dégradation volontaire,modéré,2023-08-07,12,0,14,2023-08-21,Île-de-France,Ford,3,Tous risques,338.1,1000.0,45,58,37000.0,enseignant,3,0,1,Oui,GAR_0010,EXP_010,True,True,True,0,1,False,Sinistre de type Dégradation volontaire survenu à Didier-sur-Henry. Dommages évalués à 1000€.,12,0,[],0.0
CLM_000002,CTR_002858,INS_004288,Incendie accidentel,modéré,2023-09-06,20,2,2,2023-09-08,Nouvelle-Aquitaine,Jeep,14,Au tiers,232.5,12600.0,72,11,41500.0,fonctionnaire,3,0,0,Non,GAR_0018,EXP_001,True,True,False,0,1,False,"Incendie constaté dans le parking souterrain de chemin de Charrier
05523 Jacquot.",12,0,[],2.0
CLM_000003,CTR_002329,INS_003507,Dégradation volontaire,grave,2024-10-01,14,1,1,2024-10-02,Hauts-de-France,Volkswagen,6,Tous risques,978.0,1400.0,25,19,35100.0,fonctionnaire,2,0,0,Non,GAR_0035,EXP_008,True,False,True,0,2,False,Sinistre de type Dégradation volontaire survenu à De Sousa. Dommages évalués à 1400€.,13,0,[],2.2
CLM_000004,CTR_001971,INS_002956,Incendie criminel,important,2024-03-16,13,5,0,2024-03-16,Île-de-France,Peugeot,9,Tiers étendu,320.85,12800.0,46,23,22700.0,chauffeur,1,0,0,Oui,GAR_0049,EXP_016,True,True,True,0,0,False,Traces d'accélérant constatées par les pompiers.,6,1,['accident provoqué volontairement'],1.0
CLM_000005,CTR_001678,INS_002506,Incendie accidentel,mineur,2023-09-30,10,5,7,2023-10-07,Pays de la Loire,Nissan,7,Tous risques,762.0,23700.0,49,46,27300.0,commerçant,0,0,0,Non,GAR_0036,EXP_015,True,True,True,0,1,False,"Incendie constaté dans le parking souterrain de 2, avenue Guillaume Lecoq
92653 GayVille.",13,0,[],1.3
CLM_000006,CTR_001826,INS_002738,Vol total du véhicule,mineur,2022-12-16,10,4,7,2022-12-23,Occitanie,Renault,9,Au tiers,200.0,17000.0,24,4,36300.0,technicien,0,1,0,Oui,GAR_0035,EXP_019,True,False,False,0,0,False,Vehicule volé sur le parking de Alexandre à Valentinnec.,9,0,[],3.5
CLM_000007,CTR_001462,INS_002166,Incendie accidentel,mineur,2023-08-24,7,3,7,2023-08-31,Hauts-de-France,Jeep,2,Tous risques,648.0,19000.0,75,3,10400.0,étudiant,3,0,0,Oui,GAR_0015,AUCUN,True,True,True,0,0,False,Départ de feu moteur lors d'un trajet. Vehicule immobilisé.,9,1,"['accident provoqué volontairement', 'fausse déclaration de tiers']",2.0
CLM_000008,CTR_000266,INS_000401,Bris de glace,grave,2023-04-25,23,1,2,2023-04-27,Hauts-de-France,Renault,2,Tous risques,1164.0,500.0,75,63,40800.0,commercial,2,1,0,Oui,GAR_0009,EXP_020,True,True,True,0,0,False,Vitre latérale brisée lors du stationnement.,6,0,[],1.2
CLM_000009,CTR_002255,INS_003378,Bris de glace,mineur,2023-11-23,17,3,7,2023-11-30,Provence-Alpes-Côte d'Azur,Jeep,2,Au tiers,200.0,1300.0,67,12,20200.0,ouvrier,1,1,0,Oui,GAR_0007,EXP_020,True,True,False,0,0,False,Projection de gravillon sur l'autoroute rue Monique Nicolas. Pare-brise fissuré.,10,1,"['réseau organisé de faux témoins', 'fausse déclaration de tiers']",2.0
CLM_000010,CTR_002176,INS_003264,Vol total du véhicule,mineur,2022-06-01,14,2,1,2022-06-02,Hauts-de-France,Kia,17,Tous risques,397.8,23200.0,42,54,38000.0,artisan,1,1,0,Oui,GAR_0024,EXP_018,True,True,True,0,2,False,Vehicule volé sur le parking de Lagarde Bailly SA à Pereira.,11,0,[],1.0
CLM_000011,CTR_002847,INS_004274,Collision avec animal,important,2024-12-02,0,0,0,2024-12-02,Nouvelle-Aquitaine,Volvo,4,Au tiers,200.0,3800.0,36,72,24400.0,technicien,0,1,0,Oui,GAR_0028,EXP_008,True,False,False,0,0,False,Sinistre de type Collision avec animal survenu à Bouvet. Dommages évalués à 3800€.,13,1,"['accident provoqué volontairement', 'garage complice (surfacturation)']",3.7
CLM_000012,CTR_000395,INS_000625,Stationnement endommagé,modéré,2022-08-20,13,5,90,2022-11-18,Nouvelle-Aquitaine,Tesla,0,Tiers étendu,841.5,1200.0,68,10,27900.0,agriculteur,0,2,0,Oui,GAR_0032,AUCUN,True,True,True,0,2,False,Sinistre de type Stationnement endommagé survenu à Sainte Benjamin. Dommages évalués à 1200€.,13,0,[],1.3
CLM_000013,CTR_000997,INS_001508,Bris de glace,grave,2024-01-01,13,0,30,2024-01-31,Occitanie,Dacia,3,Tiers étendu,1210.95,900.0,23,64,57900.0,cadre,0,0,0,Oui,GAR_0044,EXP_012,True,True,True,0,3,False,Vitre latérale brisée lors du stationnement.,6,1,['gonflement des dommages matériels'],2.7
CLM_000014,CTR_001323,INS_001971,Stationnement endommagé,mineur,2024-10-22,18,1,7,2024-10-29,Hauts-de-France,Dacia,1,Tous risques,1455.9,900.0,64,36,19200.0,ouvrier,0,4,0,Oui,GAR_0045,AUCUN,True,True,True,0,0,False,Sinistre de type Stationnement endommagé survenu à Sainte Zoé. Dommages évalués à 900€.,13,0,[],1.0
CLM_000015,CTR_002948,INS_004446,Bris de glace,modéré,2023-06-01,11,3,2,2023-06-03,Nouvelle-Aquitaine,Tesla,5,Tiers + vol/incendie,542.5,500.0,19,66,33800.0,fonctionnaire,0,1,0,Oui,GAR_0026,AUCUN,True,True,True,0,2,False,Projection de gravillon sur l'autoroute chemin Agathe Blanchard. Pare-brise fissuré.,10,0,[],0.0
