insured_id,compagnie,incident_type,claim_date,claim_amount,fraud_flag
INS_003035,Société Générale Assurances,Accident corporel seul conducteur,2023-09-12,3400.0,0
INS_003035,BNP Paribas Cardif,Tentative de vol avec dégradation,2025-04-20,7000.0,1
INS_003457,Aviva,Incendie criminel,2023-06-02,200.0,0
INS_003457,AXA,Incendie accidentel,2024-06-29,7400.0,0
INS_003457,BNP Paribas Cardif,Vol à la roulette,2025-07-25,7900.0,0
INS_003457,Maif,Dégradation volontaire,2025-02-03,4300.0,0
INS_003457,Generali,Tentative de vol avec dégradation,2024-11-20,8900.0,0
INS_004792,Société Générale Assurances,Vol à la roulette,2026-05-05,200.0,1
INS_004792,Aviva,Stationnement endommagé,2026-04-29,7200.0,0
INS_004792,BNP Paribas Cardif,Collision avec piéton,2025-05-28,300.0,0
INS_000707,Aviva,Dégradation volontaire,2023-06-25,7000.0,0
INS_005230,Allianz,Collision avec piéton,2023-10-14,7700.0,0
INS_005230,Allianz,Incendie criminel,2023-08-14,11800.0,1
INS_002472,Société Générale Assurances,Tentative de vol avec dégradation,2023-10-16,600.0,0
INS_002472,AXA,Bris de glace,2023-10-03,5100.0,1
INS_005934,Société Générale Assurances,Collision avec piéton,2025-01-31,600.0,0
INS_005934,Groupama,Vol à la roulette,2025-01-17,500.0,0
INS_005846,Société Générale Assurances,Collision avec piéton,2025-07-24,2600.0,0
INS_003840,Allianz,Incendie accidentel,2023-10-11,800.0,0
INS_000122,Macif,Bris de glace,2024-01-29,200.0,1
INS_000598,Groupama,Dommages grêle,2023-11-05,200.0,1
INS_001292,Aviva,Dégradation volontaire,2025-02-03,1700.0,0
INS_001292,Macif,Accident corporel seul conducteur,2025-12-03,10200.0,0
INS_001292,Generali,Accident corporel seul conducteur,2025-11-22,6200.0,0
INS_001292,Macif,Vol total du véhicule,2025-02-14,200.0,0
INS_005069,Société Générale Assurances,Accident corporel seul conducteur,2025-12-13,5100.0,1
INS_004449,Maif,Tentative de vol avec dégradation,2025-08-29,4800.0,0
INS_004449,Macif,Accident corporel seul conducteur,2025-02-25,6000.0,0
INS_001732,Maif,Collision avec piéton,2024-11-30,8500.0,0
INS_001732,Generali,Collision simple,2025-03-06,5900.0,0
INS_005534,Groupama,Collision avec piéton,2023-09-16,1200.0,0
INS_005534,Société Générale Assurances,Tentative de vol avec dégradation,2025-01-01,5100.0,0
INS_005534,Société Générale Assurances,Incendie accidentel,2026-03-18,6800.0,0
INS_004809,Société Générale Assurances,Inondation / submersion,2026-02-14,5000.0,0
INS_002094,BNP Paribas Cardif,Bris de glace,2026-02-21,2800.0,1
INS_005618,Aviva,Bris de glace,2025-10-30,4300.0,1
INS_005618,Generali,Collision simple,2023-08-18,3900.0,0
INS_005618,BNP Paribas Cardif,Bris de glace,2025-12-04,8100.0,1
INS_002923,Société Générale Assurances,Stationnement endommagé,2025-10-21,7700.0,1
INS_002398,Aviva,Tentative de vol avec dégradation,2025-05-02,3000.0,1
INS_002398,Groupama,Bris de glace,2023-08-25,4100.0,0
INS_002398,AXA,Tentative de vol avec dégradation,2025-03-15,6400.0,1
INS_002398,Macif,Collision avec animal,2026-04-27,6200.0,0
INS_002398,Allianz,Collision avec animal,2026-02-09,3400.0,0
INS_000644,Groupama,Collision avec animal,2024-10-18,9300.0,0
INS_003129,Groupama,Incendie criminel,2025-11-21,8100.0,0
INS_003129,Allianz,Incendie criminel,2024-10-10,800.0,0
INS_002259,Aviva,Vol à la roulette,2025-06-26,3300.0,1
INS_003168,AXA,Collision avec piéton,2023-09-24,2300.0,1
INS_000224,Macif,Collision simple,2025-10-09,3200.0,0
INS_000224,Aviva,Accident corporel seul conducteur,2024-04-29,1100.0,1
INS_003994,Aviva,Collision avec animal,2023-12-13,4200.0,1
INS_003994,BNP Paribas Cardif,Vol total du véhicule,2025-01-30,5800.0,0
INS_005619,Groupama,Tentative de vol avec dégradation,2024-10-19,200.0,0
INS_005619,Maif,Collision multi-véhicules,2024-02-11,200.0,0
INS_005619,Aviva,Collision avec piéton,2024-08-19,4200.0,1
INS_005619,Macif,Incendie criminel,2024-07-21,6700.0,1
INS_000881,Generali,Dégradation volontaire,2024-06-08,7100.0,1
INS_002877,Aviva,Inondation / submersion,2023-08-21,1800.0,1
INS_002877,Allianz,Bris de glace,2026-03-05,5500.0,1
INS_000346,Macif,Collision simple,2024-02-10,200.0,1
INS_000010,Aviva,Inondation / submersion,2023-08-10,6200.0,0
INS_003536,Groupama,Accident corporel seul conducteur,2024-04-19,1100.0,1
INS_005243,Macif,Vol total du véhicule,2025-02-14,2400.0,0
INS_005243,Maif,Collision avec animal,2026-04-30,4700.0,1
INS_005243,Macif,Inondation / submersion,2025-10-09,8300.0,0
INS_005695,Groupama,Incendie accidentel,2024-10-21,2600.0,0
INS_005553,Macif,Collision simple,2024-09-29,200.0,0
INS_003223,Société Générale Assurances,Collision avec piéton,2025-09-04,10000.0,0
INS_002845,Macif,Vol à la roulette,2025-05-02,3400.0,0
INS_001359,Generali,Incendie criminel,2025-07-10,1800.0,1
INS_001359,BNP Paribas Cardif,Collision multi-véhicules,2024-10-12,13300.0,0
INS_001359,AXA,Accident corporel seul conducteur,2023-11-30,10500.0,1
INS_004495,Generali,Collision avec piéton,2025-08-26,8500.0,0
INS_002717,BNP Paribas Cardif,Dommages grêle,2024-04-15,4300.0,0
INS_001641,Aviva,Bris de glace,2025-04-21,9400.0,0
INS_000411,Aviva,Incendie criminel,2023-12-28,11600.0,0
INS_000259,Maif,Bris de glace,2026-01-18,2200.0,0
INS_000259,Allianz,Incendie criminel,2025-12-23,10900.0,0
INS_002133,AXA,Vol à la roulette,2025-04-07,1600.0,1
INS_002133,Groupama,Vol total du véhicule,2024-10-13,14800.0,1
INS_002133,Generali,Vol à la roulette,2024-11-18,13200.0,0
INS_002133,Macif,Collision avec animal,2025-03-17,11100.0,1
INS_002133,Macif,Incendie criminel,2025-12-31,4900.0,1
INS_002686,Société Générale Assurances,Vol à la roulette,2024-06-25,2800.0,0
INS_003068,Société Générale Assurances,Collision multi-véhicules,2023-09-23,10100.0,0
INS_003846,Maif,Incendie criminel,2026-02-09,500.0,0
INS_003846,AXA,Incendie accidentel,2025-08-27,10100.0,0
INS_003846,Allianz,Stationnement endommagé,2025-12-14,8800.0,0
INS_003846,BNP Paribas Cardif,Dommages grêle,2024-01-25,2500.0,0
INS_003846,AXA,Incendie accidentel,2024-12-14,200.0,0
INS_005693,Société Générale Assurances,Collision simple,2025-06-05,6300.0,0
INS_005355,Generali,Collision simple,2023-07-12,200.0,0
INS_004172,Generali,Collision multi-véhicules,2023-11-13,200.0,1
INS_003278,Macif,Collision simple,2026-02-22,9400.0,0
INS_004375,Groupama,Collision avec animal,2023-07-16,9400.0,0
INS_002750,Société Générale Assurances,Incendie accidentel,2025-10-25,4800.0,1
INS_002750,Allianz,Vol total du véhicule,2024-03-17,4900.0,0
INS_005068,Allianz,Incendie accidentel,2024-12-31,2300.0,0
INS_005068,Generali,Dommages grêle,2023-06-15,9500.0,0
INS_001494,Allianz,Dommages grêle,2024-04-15,4300.0,0
INS_001494,Generali,Collision avec piéton,2024-04-11,3200.0,0
INS_001494,Aviva,Tentative de vol avec dégradation,2025-02-20,9800.0,1
INS_001494,BNP Paribas Cardif,Tentative de vol avec dégradation,2024-08-26,6400.0,1
INS_001230,AXA,Inondation / submersion,2023-07-20,5000.0,1
INS_001242,Allianz,Collision avec piéton,2023-06-28,11200.0,1
