contract_id,insured_id,role
CTR_000001,INS_000001,souscripteur principal
CTR_000002,INS_000001,souscripteur principal
CTR_000003,INS_000004,souscripteur principal
CTR_000004,INS_000005,souscripteur principal
CTR_000004,INS_000457,conducteur secondaire
CTR_000005,INS_000008,souscripteur principal
CTR_000006,INS_000010,souscripteur principal
CTR_000007,INS_000012,souscripteur principal
CTR_000007,INS_004084,conducteur secondaire
CTR_000008,INS_000014,souscripteur principal
CTR_000009,INS_000016,souscripteur principal
CTR_000009,INS_004676,conducteur secondaire
CTR_000010,INS_000018,souscripteur principal
CTR_000010,INS_005326,conducteur secondaire
CTR_000011,INS_000019,souscripteur principal
CTR_000012,INS_000020,souscripteur principal
CTR_000012,INS_004776,conjoint
CTR_000013,INS_000021,souscripteur principal
CTR_000014,INS_000023,souscripteur principal
CTR_000014,INS_002233,enfant
CTR_000014,INS_005547,conducteur secondaire
CTR_000015,INS_000026,souscripteur principal
CTR_000015,INS_003909,enfant
CTR_000015,INS_005742,conjoint
CTR_000016,INS_000029,souscripteur principal
CTR_000016,INS_000560,enfant
CTR_000017,INS_000031,souscripteur principal
CTR_000018,INS_000032,souscripteur principal
CTR_000019,INS_000035,souscripteur principal
CTR_000020,INS_000037,souscripteur principal
CTR_000021,INS_000039,souscripteur principal
CTR_000021,INS_004318,conducteur secondaire
CTR_000021,INS_001989,conducteur secondaire
CTR_000022,INS_000040,souscripteur principal
CTR_000023,INS_000041,souscripteur principal
CTR_000024,INS_000044,souscripteur principal
CTR_000024,INS_004545,enfant
CTR_000025,INS_000046,souscripteur principal
CTR_000026,INS_000047,souscripteur principal
CTR_000027,INS_000048,souscripteur principal
CTR_000027,INS_005953,enfant
CTR_000028,INS_000049,souscripteur principal
CTR_000028,INS_005368,conjoint
CTR_000029,INS_000050,souscripteur principal
CTR_000029,INS_002497,conducteur secondaire
CTR_000030,INS_000051,souscripteur principal
CTR_000031,INS_000052,souscripteur principal
CTR_000031,INS_003000,enfant
CTR_000032,INS_000054,souscripteur principal
CTR_000033,INS_000055,souscripteur principal
CTR_000033,INS_001302,conducteur secondaire
CTR_000034,INS_000056,souscripteur principal
CTR_000035,INS_000057,souscripteur principal
CTR_000035,INS_003147,enfant
CTR_000035,INS_002280,conjoint
CTR_000036,INS_000058,souscripteur principal
CTR_000037,INS_000059,souscripteur principal
CTR_000038,INS_000060,souscripteur principal
CTR_000039,INS_000061,souscripteur principal
CTR_000040,INS_000062,souscripteur principal
CTR_000041,INS_000064,souscripteur principal
CTR_000041,INS_000919,conjoint
CTR_000042,INS_000066,souscripteur principal
CTR_000042,INS_001150,conjoint
CTR_000043,INS_000069,souscripteur principal
CTR_000043,INS_000148,conjoint
CTR_000044,INS_000070,souscripteur principal
CTR_000045,INS_000072,souscripteur principal
CTR_000046,INS_000073,souscripteur principal
CTR_000047,INS_000074,souscripteur principal
CTR_000048,INS_000075,souscripteur principal
CTR_000048,INS_001571,conducteur secondaire
CTR_000049,INS_000076,souscripteur principal
CTR_000050,INS_000077,souscripteur principal
CTR_000051,INS_000079,souscripteur principal
CTR_000052,INS_000084,souscripteur principal
CTR_000053,INS_000085,souscripteur principal
CTR_000053,INS_003353,conjoint
CTR_000054,INS_000087,souscripteur principal
CTR_000055,INS_000088,souscripteur principal
CTR_000055,INS_001125,conducteur secondaire
CTR_000056,INS_000090,souscripteur principal
CTR_000057,INS_000091,souscripteur principal
CTR_000058,INS_000092,souscripteur principal
CTR_000059,INS_000093,souscripteur principal
CTR_000059,INS_001947,conjoint
CTR_000060,INS_000096,souscripteur principal
CTR_000061,INS_000097,souscripteur principal
CTR_000061,INS_005146,enfant
CTR_000062,INS_000097,souscripteur principal
CTR_000063,INS_000099,souscripteur principal
CTR_000064,INS_000101,souscripteur principal
CTR_000064,INS_003423,conjoint
CTR_000065,INS_000102,souscripteur principal
CTR_000066,INS_000103,souscripteur principal
CTR_000067,INS_000106,souscripteur principal
CTR_000068,INS_000107,souscripteur principal
CTR_000069,INS_000108,souscripteur principal
CTR_000069,INS_001567,conjoint
CTR_000070,INS_000109,souscripteur principal
CTR_000070,INS_001673,conducteur secondaire
CTR_000071,INS_000109,souscripteur principal
CTR_000071,INS_001320,enfant
CTR_000071,INS_004940,enfant
CTR_000072,INS_000110,souscripteur principal
CTR_000072,INS_004426,conducteur secondaire
CTR_000073,INS_000111,souscripteur principal
CTR_000074,INS_000113,souscripteur principal
CTR_000074,INS_001015,enfant
CTR_000075,INS_000114,souscripteur principal
CTR_000076,INS_000115,souscripteur principal
CTR_000077,INS_000116,souscripteur principal
CTR_000078,INS_000119,souscripteur principal
CTR_000078,INS_004458,enfant
CTR_000079,INS_000119,souscripteur principal
CTR_000079,INS_000079,enfant
CTR_000080,INS_000120,souscripteur principal
CTR_000081,INS_000122,souscripteur principal
CTR_000082,INS_000125,souscripteur principal
CTR_000083,INS_000126,souscripteur principal
CTR_000083,INS_003444,conducteur secondaire
CTR_000084,INS_000127,souscripteur principal
CTR_000085,INS_000128,souscripteur principal
CTR_000085,INS_005377,enfant
CTR_000086,INS_000129,souscripteur principal
CTR_000087,INS_000130,souscripteur principal
CTR_000088,INS_000131,souscripteur principal
CTR_000088,INS_000348,conducteur secondaire
