contract_id,insured_id,contract_type,subscription_date,annual_premium,vehicle_brand,vehicle_age,vehicle_value,vehicle_usage,contract_status
CTR_000001,INS_000001,Tiers étendu,2022-01-19,337.5,Toyota,3,7500.0,personnel,actif
CTR_000002,INS_000001,Tous risques,2024-10-13,576.0,Peugeot,10,9600.0,personnel,actif
CTR_000003,INS_000004,Au tiers,2024-07-27,407.5,Dacia,12,16300.0,personnel,actif
CTR_000004,INS_000005,Tiers étendu,2022-08-21,463.5,Renault,15,10300.0,personnel,actif
CTR_000005,INS_000008,Tous risques + assistance,2023-04-16,1803.75,Kia,12,18500.0,professionnel,actif
CTR_000006,INS_000010,Tous risques + assistance,2023-11-17,1680.0,Renault,0,22400.0,personnel,actif
CTR_000007,INS_000012,Tiers étendu,2021-08-01,688.5,Kia,8,15300.0,personnel,actif
CTR_000008,INS_000014,Au tiers,2022-07-17,200.0,Jeep,4,4800.0,professionnel,suspendu
CTR_000009,INS_000016,Tous risques,2021-01-30,1124.7,Hyundai,5,16300.0,mixte,actif
CTR_000010,INS_000018,Tous risques,2024-07-29,614.1,Skoda,5,8900.0,mixte,actif
CTR_000011,INS_000019,Tiers étendu,2023-12-05,320.85,Toyota,11,6200.0,mixte,actif
CTR_000012,INS_000020,Tous risques,2023-07-21,600.0,Nissan,4,10000.0,personnel,actif
CTR_000013,INS_000021,Tous risques + assistance,2023-03-13,532.5,Nissan,8,7100.0,personnel,actif
CTR_000014,INS_000023,Tiers étendu,2025-05-04,351.0,Audi,10,7800.0,personnel,actif
CTR_000015,INS_000026,Tous risques,2021-09-05,288.6,Skoda,12,3700.0,professionnel,actif
CTR_000016,INS_000029,Tous risques,2021-03-14,348.0,Hyundai,12,5800.0,personnel,actif
CTR_000017,INS_000031,Au tiers,2024-07-10,285.0,Skoda,5,11400.0,personnel,suspendu
CTR_000018,INS_000032,Tiers + vol/incendie,2022-02-18,290.5,Opel,8,8300.0,personnel,actif
CTR_000019,INS_000035,Tiers + vol/incendie,2023-11-23,495.95,Volvo,8,10900.0,professionnel,actif
CTR_000020,INS_000037,Au tiers,2022-02-09,200.0,Nissan,12,6900.0,personnel,actif
CTR_000021,INS_000039,Tous risques + assistance,2023-01-15,1277.25,Skoda,4,13100.0,professionnel,actif
CTR_000022,INS_000040,Tous risques,2024-04-19,504.0,Fiat,13,8400.0,personnel,actif
CTR_000023,INS_000041,Tous risques,2022-12-12,200.0,Hyundai,10,800.0,mixte,actif
CTR_000024,INS_000044,Tiers étendu,2023-06-24,684.0,Skoda,10,15200.0,personnel,suspendu
CTR_000025,INS_000046,Tous risques,2020-09-15,768.0,Volvo,12,12800.0,personnel,actif
CTR_000026,INS_000047,Tous risques,2023-07-26,1083.3,Hyundai,0,15700.0,mixte,actif
CTR_000027,INS_000048,Tiers étendu,2022-08-22,315.0,Opel,14,7000.0,personnel,actif
CTR_000028,INS_000049,Tiers + vol/incendie,2020-09-15,556.5,Hyundai,6,15900.0,personnel,actif
CTR_000029,INS_000050,Tiers étendu,2020-12-29,765.0,Volkswagen,7,17000.0,personnel,actif
CTR_000030,INS_000051,Tous risques,2024-07-29,894.0,Audi,10,14900.0,personnel,actif
CTR_000031,INS_000052,Tous risques,2023-04-12,396.0,Kia,4,6600.0,personnel,actif
CTR_000032,INS_000054,Tous risques,2021-11-08,975.0,Toyota,4,12500.0,professionnel,actif
CTR_000033,INS_000055,Tous risques,2022-04-08,787.8,Skoda,10,10100.0,professionnel,actif
CTR_000034,INS_000056,Tous risques,2023-11-21,642.0,Dacia,7,10700.0,personnel,actif
CTR_000035,INS_000057,Tiers + vol/incendie,2022-05-06,509.6,Seat,5,11200.0,professionnel,actif
CTR_000036,INS_000058,Tiers étendu,2026-01-09,472.5,Toyota,3,10500.0,personnel,actif
CTR_000037,INS_000059,Tous risques,2021-11-24,1134.0,Renault,6,18900.0,personnel,actif
CTR_000038,INS_000060,Au tiers,2022-12-29,200.0,Volvo,12,5900.0,mixte,actif
CTR_000039,INS_000061,Tiers étendu,2023-08-09,238.5,Opel,17,5300.0,personnel,actif
CTR_000040,INS_000062,Tous risques + assistance,2021-06-03,200.0,Seat,5,1100.0,professionnel,actif
CTR_000041,INS_000064,Au tiers,2021-01-07,200.0,Toyota,9,3000.0,personnel,résilié
CTR_000042,INS_000066,Tous risques + assistance,2025-03-13,405.0,Dacia,9,5400.0,personnel,actif
CTR_000043,INS_000069,Tous risques + assistance,2023-04-24,847.5,Tesla,0,11300.0,personnel,actif
CTR_000044,INS_000070,Au tiers,2023-09-08,200.0,Audi,20,3700.0,personnel,suspendu
CTR_000045,INS_000072,Tiers étendu,2023-09-09,463.5,Audi,8,10300.0,personnel,actif
CTR_000046,INS_000073,Tous risques,2020-12-24,678.0,Tesla,9,11300.0,personnel,actif
CTR_000047,INS_000074,Au tiers,2024-02-01,200.0,Hyundai,17,4600.0,personnel,actif
CTR_000048,INS_000075,Tous risques,2022-10-30,1140.0,Peugeot,2,19000.0,personnel,actif
CTR_000049,INS_000076,Tous risques + assistance,2023-07-18,427.5,BMW,14,5700.0,personnel,suspendu
CTR_000050,INS_000077,Au tiers,2022-12-08,200.0,Peugeot,16,4400.0,mixte,actif
CTR_000051,INS_000079,Au tiers,2021-03-03,200.0,Renault,6,4300.0,professionnel,suspendu
CTR_000052,INS_000084,Tous risques,2024-12-17,514.8,Dacia,12,6600.0,professionnel,actif
CTR_000053,INS_000085,Tous risques,2025-06-06,200.0,Renault,6,2500.0,mixte,suspendu
CTR_000054,INS_000087,Tous risques,2022-11-01,792.0,Citroën,1,13200.0,personnel,actif
CTR_000055,INS_000088,Au tiers,2023-09-07,200.0,Jeep,14,5300.0,professionnel,actif
CTR_000056,INS_000090,Tiers étendu,2025-06-03,697.5,Renault,3,15500.0,personnel,actif
CTR_000057,INS_000091,Au tiers,2021-04-02,442.5,Kia,3,17700.0,personnel,actif
CTR_000058,INS_000092,Tous risques,2022-12-18,462.0,Mercedes,8,7700.0,personnel,actif
CTR_000059,INS_000093,Tiers étendu,2023-11-12,1521.0,Renault,2,26000.0,professionnel,suspendu
CTR_000060,INS_000096,Tiers + vol/incendie,2021-08-01,556.5,Jeep,0,15900.0,personnel,suspendu
CTR_000061,INS_000097,Tiers étendu,2025-12-10,405.0,Ford,0,9000.0,personnel,actif
CTR_000062,INS_000097,Tous risques + assistance,2024-09-21,817.5,Peugeot,4,10900.0,personnel,actif
CTR_000063,INS_000099,Tiers + vol/incendie,2022-08-18,717.5,Hyundai,4,20500.0,personnel,actif
CTR_000064,INS_000101,Tiers + vol/incendie,2021-12-22,200.0,Citroën,9,800.0,professionnel,actif
CTR_000065,INS_000102,Tiers + vol/incendie,2024-08-20,248.5,Renault,18,7100.0,personnel,actif
CTR_000066,INS_000103,Au tiers,2021-07-28,200.0,Fiat,13,2100.0,personnel,résilié
CTR_000067,INS_000106,Tiers étendu,2022-10-27,200.0,BMW,20,4100.0,personnel,actif
CTR_000068,INS_000107,Tous risques,2020-09-17,654.0,Skoda,5,10900.0,personnel,actif
CTR_000069,INS_000108,Tous risques,2021-07-26,426.0,Nissan,17,7100.0,personnel,actif
CTR_000070,INS_000109,Au tiers,2021-07-04,200.0,Skoda,5,4500.0,personnel,actif
CTR_000071,INS_000109,Tous risques,2023-05-30,200.0,Renault,5,800.0,mixte,actif
CTR_000072,INS_000110,Au tiers,2025-08-22,632.5,Fiat,5,22000.0,mixte,actif
CTR_000073,INS_000111,Tous risques,2026-04-04,780.0,BMW,7,10000.0,professionnel,actif
CTR_000074,INS_000113,Tiers étendu,2024-07-17,200.0,Hyundai,7,800.0,personnel,actif
CTR_000075,INS_000114,Tiers étendu,2022-05-29,873.0,Kia,0,19400.0,personnel,actif
CTR_000076,INS_000115,Tiers + vol/incendie,2024-07-26,378.0,Jeep,11,10800.0,personnel,actif
CTR_000077,INS_000116,Au tiers,2024-06-12,532.5,Jeep,2,21300.0,personnel,actif
CTR_000078,INS_000119,Tous risques,2025-11-20,804.0,Hyundai,2,13400.0,personnel,actif
CTR_000079,INS_000119,Au tiers,2021-03-23,200.0,Dacia,10,4000.0,professionnel,actif
CTR_000080,INS_000120,Tiers + vol/incendie,2022-02-15,200.0,Volkswagen,0,1700.0,personnel,actif
CTR_000081,INS_000122,Tous risques,2020-12-20,366.0,Nissan,2,6100.0,personnel,actif
CTR_000082,INS_000125,Tous risques + assistance,2022-02-17,600.0,BMW,4,8000.0,personnel,actif
CTR_000083,INS_000126,Au tiers,2021-04-26,262.5,Skoda,3,10500.0,personnel,actif
CTR_000084,INS_000127,Tous risques,2022-10-26,816.0,Volkswagen,8,13600.0,personnel,actif
CTR_000085,INS_000128,Tous risques + assistance,2023-04-12,612.38,Volvo,16,7100.0,mixte,actif
CTR_000086,INS_000129,Tous risques,2021-01-05,343.2,Hyundai,7,4400.0,professionnel,actif
CTR_000087,INS_000130,Tiers + vol/incendie,2020-11-06,318.5,Renault,6,9100.0,personnel,actif
CTR_000088,INS_000131,Au tiers,2022-04-25,220.0,Dacia,12,8800.0,personnel,actif
CTR_000089,INS_000131,Tous risques + assistance,2023-12-06,966.0,Nissan,4,11200.0,mixte,actif
CTR_000090,INS_000132,Tous risques,2021-03-31,456.0,Hyundai,2,7600.0,personnel,actif
CTR_000091,INS_000135,Tous risques + assistance,2020-12-20,1582.5,Peugeot,3,21100.0,personnel,suspendu
CTR_000092,INS_000138,Tous risques,2025-07-22,786.0,Jeep,9,13100.0,personnel,actif
CTR_000093,INS_000140,Au tiers,2022-12-10,347.75,Mercedes,11,10700.0,professionnel,actif
CTR_000094,INS_000141,Tous risques,2021-11-23,456.0,Nissan,5,7600.0,personnel,suspendu
CTR_000095,INS_000142,Au tiers,2025-06-27,720.0,Ford,4,28800.0,personnel,actif
CTR_000096,INS_000143,Au tiers,2023-07-06,562.5,Jeep,1,22500.0,personnel,actif
CTR_000097,INS_000144,Tous risques,2021-03-03,450.0,Fiat,2,7500.0,personnel,actif
CTR_000098,INS_000148,Au tiers,2025-07-06,200.0,Citroën,7,800.0,personnel,actif
CTR_000099,INS_000148,Tiers + vol/incendie,2022-01-23,477.75,Citroën,10,10500.0,professionnel,actif
CTR_000100,INS_000149,Tous risques,2020-08-02,426.0,Fiat,4,7100.0,personnel,suspendu
CTR_000101,INS_000151,Tiers étendu,2022-04-25,200.0,Peugeot,4,800.0,professionnel,actif
CTR_000102,INS_000154,Tous risques + assistance,2025-08-11,409.5,Ford,8,4200.0,professionnel,actif
CTR_000103,INS_000156,Au tiers,2023-12-02,232.87,Toyota,7,8100.0,mixte,actif
CTR_000104,INS_000159,Tous risques,2021-07-02,732.0,Audi,8,12200.0,personnel,actif
CTR_000105,INS_000160,Tiers étendu,2021-06-14,783.0,BMW,5,17400.0,personnel,actif
CTR_000106,INS_000162,Tous risques,2022-08-19,972.0,Toyota,9,16200.0,personnel,actif
